timestamp,zone_id,time_of_day,current_count,flow_rate,average_velocity,occupancy_after_5_min
2026-01-01 06:40:00,Hall 1,6.67,328,-9.68,1.21,295
2026-01-01 06:41:00,Open Arena,6.68,223,10.67,1.41,276
2026-01-01 06:42:00,Hall 3,6.7,243,-0.64,1.39,248
2026-01-01 06:43:00,Hall 1,6.72,336,10.33,1.42,359
2026-01-01 06:44:00,Hall 3,6.73,372,22.17,1.17,465
2026-01-01 06:45:00,Hall 1,6.75,298,15.53,1.55,371
2026-01-01 06:46:00,Hall 2,6.77,337,7.23,1.43,381
2026-01-01 06:47:00,Open Arena,6.78,352,8.89,1.44,411
2026-01-01 06:48:00,Hall 1,6.8,296,21.18,1.4,409
2026-01-01 06:49:00,Hall 3,6.82,284,5.33,1.68,312
2026-01-01 06:50:00,Hall 1,6.83,281,-11.35,1.56,221
2026-01-01 06:51:00,Hall 3,6.85,346,4.78,1.4,371
2026-01-01 06:52:00,Hall 1,6.87,428,-9.33,1.46,370
2026-01-01 06:53:00,Hall 3,6.88,428,4.72,1.27,444
2026-01-01 06:54:00,Hall 2,6.9,1641,120.0,1.33,2242
2026-01-01 06:55:00,Hall 3,6.92,375,-7.78,1.39,349
2026-01-01 06:56:00,Hall 3,6.93,329,26.93,1.33,486
2026-01-01 06:57:00,Open Arena,6.95,375,7.68,1.37,413
2026-01-01 06:58:00,Hall 3,6.97,345,13.15,1.37,415
2026-01-01 06:59:00,Hall 1,6.98,449,21.98,1.5,537
2026-01-01 07:00:00,Hall 1,7.0,439,8.14,1.41,492
2026-01-01 07:01:00,Hall 3,7.02,452,11.09,1.48,495
2026-01-01 07:02:00,Hall 3,7.03,436,28.28,1.45,546
2026-01-01 07:03:00,Hall 1,7.05,432,0.23,1.43,410
2026-01-01 07:04:00,Hall 2,7.07,401,8.82,1.38,457
2026-01-01 07:05:00,Open Arena,7.08,430,0.4,1.49,408
2026-01-01 07:06:00,Hall 1,7.1,441,1.66,1.37,433
2026-01-01 07:07:00,Hall 3,7.12,479,2.65,1.17,480
2026-01-01 07:08:00,Hall 2,7.13,482,20.32,1.48,573
2026-01-01 07:09:00,Hall 1,7.15,446,29.28,1.36,595
2026-01-01 07:10:00,Hall 2,7.17,407,19.07,1.22,514
2026-01-01 07:11:00,Hall 3,7.18,493,11.6,1.48,548
2026-01-01 07:12:00,Hall 3,7.2,491,13.52,1.43,545
2026-01-01 07:13:00,Hall 3,7.22,528,3.37,1.18,527
2026-01-01 07:14:00,Hall 3,7.23,443,-7.2,1.5,419
2026-01-01 07:15:00,Hall 2,7.25,455,7.78,1.41,482
2026-01-01 07:16:00,Hall 1,7.27,467,-9.41,1.31,418
2026-01-01 07:17:00,Hall 2,7.28,399,1.24,1.26,413
2026-01-01 07:18:00,Hall 1,7.3,557,-0.56,1.43,596
2026-01-01 07:19:00,Hall 1,7.32,507,-4.75,1.47,470
2026-01-01 07:20:00,Open Arena,7.33,538,-3.93,1.57,518
2026-01-01 07:21:00,Hall 3,7.35,494,-7.78,1.46,463
2026-01-01 07:22:00,Hall 1,7.37,462,5.87,1.24,489
2026-01-01 07:23:00,Hall 2,7.38,648,14.18,1.39,718
2026-01-01 07:24:00,Open Arena,7.4,478,11.02,1.4,517
2026-01-01 07:25:00,Hall 2,7.42,536,19.83,1.36,638
2026-01-01 07:26:00,Hall 2,7.43,554,5.21,1.42,604
2026-01-01 07:27:00,Open Arena,7.45,626,-5.86,1.29,568
2026-01-01 07:28:00,Hall 2,7.47,565,6.15,1.56,602
2026-01-01 07:29:00,Hall 2,7.48,593,-7.48,1.34,572
2026-01-01 07:30:00,Hall 1,7.5,630,-1.49,1.34,629
2026-01-01 07:31:00,Hall 2,7.52,608,12.3,1.47,672
2026-01-01 07:32:00,Open Arena,7.53,606,21.5,1.27,687
2026-01-01 07:33:00,Hall 3,7.55,603,-4.86,1.31,580
2026-01-01 07:34:00,Open Arena,7.57,665,10.34,1.34,700
2026-01-01 07:35:00,Hall 2,7.58,589,5.07,1.37,627
2026-01-01 07:36:00,Hall 3,7.6,596,-3.23,1.41,562
2026-01-01 07:37:00,Open Arena,7.62,628,6.46,1.26,664
2026-01-01 07:38:00,Hall 1,7.63,677,1.22,1.27,673
2026-01-01 07:39:00,Hall 2,7.65,632,4.12,1.38,659
2026-01-01 07:40:00,Hall 1,7.67,542,-21.29,1.54,445
2026-01-01 07:41:00,Open Arena,7.68,620,0.99,1.32,640
2026-01-01 07:42:00,Hall 3,7.7,542,13.25,1.5,591
2026-01-01 07:43:00,Open Arena,7.72,644,1.37,1.46,639
2026-01-01 07:44:00,Hall 1,7.73,689,-12.89,1.38,618
2026-01-01 07:45:00,Open Arena,7.75,1904,-50.0,1.12,1660
2026-01-01 07:46:00,Hall 3,7.77,678,16.35,1.24,742
2026-01-01 07:47:00,Hall 2,7.78,756,-2.62,1.29,750
2026-01-01 07:48:00,Hall 3,7.8,828,3.47,1.45,846
2026-01-01 07:49:00,Hall 1,7.82,762,-0.5,1.25,764
2026-01-01 07:50:00,Hall 1,7.83,781,19.23,1.27,880
2026-01-01 07:51:00,Open Arena,7.85,757,-6.35,1.45,709
2026-01-01 07:52:00,Open Arena,7.87,730,-11.77,1.42,684
2026-01-01 07:53:00,Hall 2,7.88,720,-11.41,1.35,666
2026-01-01 07:54:00,Hall 3,7.9,847,12.57,1.22,914
2026-01-01 07:55:00,Hall 2,7.92,767,15.18,1.44,846
2026-01-01 07:56:00,Hall 2,7.93,866,1.57,1.24,873
2026-01-01 07:57:00,Hall 1,7.95,704,21.46,1.43,824
2026-01-01 07:58:00,Hall 1,7.97,795,-0.18,1.29,786
2026-01-01 07:59:00,Open Arena,7.98,800,-2.4,1.46,784
2026-01-01 08:00:00,Open Arena,8.0,761,51.48,1.42,1040
2026-01-01 08:01:00,Hall 3,8.02,850,64.44,1.21,1177
2026-01-01 08:02:00,Hall 3,8.03,763,57.63,1.36,1086
2026-01-01 08:03:00,Open Arena,8.05,822,36.02,1.32,981
2026-01-01 08:04:00,Hall 3,8.07,875,55.96,1.25,1141
2026-01-01 08:05:00,Hall 1,8.08,916,40.72,1.2,1142
2026-01-01 08:06:00,Hall 1,8.1,806,65.4,1.31,1150
2026-01-01 08:07:00,Open Arena,8.12,929,54.55,1.29,1176
2026-01-01 08:08:00,Open Arena,8.13,858,40.19,1.36,1059
2026-01-01 08:09:00,Hall 2,8.15,839,48.12,1.32,1068
2026-01-01 08:10:00,Hall 1,8.17,964,48.76,1.28,1191
2026-01-01 08:11:00,Open Arena,8.18,1027,30.97,1.21,1216
2026-01-01 08:12:00,Hall 1,8.2,900,37.92,1.18,1110
2026-01-01 08:13:00,Hall 2,8.22,926,52.28,1.43,1169
2026-01-01 08:14:00,Hall 3,8.23,988,70.99,1.16,1348
2026-01-01 08:15:00,Hall 2,8.25,963,32.67,1.35,1141
2026-01-01 08:16:00,Hall 3,8.27,993,64.36,1.42,1339
2026-01-01 08:17:00,Hall 3,8.28,942,14.62,1.46,1066
2026-01-01 08:18:00,Hall 2,8.3,1032,53.8,1.25,1308
2026-01-01 08:19:00,Open Arena,8.32,1007,40.16,1.25,1205
2026-01-01 08:20:00,Hall 1,8.33,1064,48.29,1.33,1307
2026-01-01 08:21:00,Hall 1,8.35,1012,29.22,1.43,1154
2026-01-01 08:22:00,Open Arena,8.37,953,22.67,1.18,1065
2026-01-01 08:23:00,Hall 2,8.38,1047,53.06,1.23,1324
2026-01-01 08:24:00,Hall 2,8.4,1076,60.47,1.13,1384
2026-01-01 08:25:00,Open Arena,8.42,1029,30.23,1.16,1166
2026-01-01 08:26:00,Hall 1,8.43,1147,44.87,1.31,1373
2026-01-01 08:27:00,Hall 2,8.45,1158,45.77,1.12,1390
2026-01-01 08:28:00,Hall 3,8.47,1088,6.56,1.33,1131
2026-01-01 08:29:00,Hall 3,8.48,1138,36.77,1.26,1321
2026-01-01 08:30:00,Hall 2,8.5,1126,53.98,1.29,1369
2026-01-01 08:31:00,Hall 1,8.52,1106,30.86,1.14,1250
2026-01-01 08:32:00,Hall 3,8.53,1190,48.39,1.34,1434
2026-01-01 08:33:00,Hall 3,8.55,1120,60.57,1.22,1422
2026-01-01 08:34:00,Hall 1,8.57,1083,66.24,1.25,1412
2026-01-01 08:35:00,Hall 2,8.58,1160,16.54,1.05,1252
2026-01-01 08:36:00,Open Arena,8.6,1111,29.99,1.25,1228
2026-01-01 08:37:00,Hall 2,8.62,1220,7.54,1.25,1264
2026-01-01 08:38:00,Hall 3,8.63,1210,35.35,1.27,1390
2026-01-01 08:39:00,Open Arena,8.65,1316,31.03,1.24,1461
2026-01-01 08:40:00,Open Arena,8.67,1255,45.48,1.09,1454
2026-01-01 08:41:00,Hall 1,8.68,1254,32.53,1.21,1404
2026-01-01 08:42:00,Hall 1,8.7,1311,48.85,1.14,1553
2026-01-01 08:43:00,Hall 2,8.72,1202,26.01,1.21,1329
2026-01-01 08:44:00,Hall 2,8.73,1182,8.91,1.14,1206
2026-01-01 08:45:00,Hall 2,8.75,1830,120.0,1.03,2448
2026-01-01 08:46:00,Hall 3,8.77,1392,47.4,1.26,1626
2026-01-01 08:47:00,Open Arena,8.78,1309,55.74,1.26,1589
2026-01-01 08:48:00,Open Arena,8.8,1264,58.59,1.21,1589
2026-01-01 08:49:00,Hall 1,8.82,1245,27.42,1.15,1375
2026-01-01 08:50:00,Open Arena,8.83,1268,26.74,1.33,1391
2026-01-01 08:51:00,Hall 1,8.85,1267,54.58,1.22,1553
2026-01-01 08:52:00,Hall 3,8.87,1301,47.96,1.17,1536
2026-01-01 08:53:00,Hall 2,8.88,1327,14.77,1.31,1395
2026-01-01 08:54:00,Hall 2,8.9,1301,61.87,1.22,1609
2026-01-01 08:55:00,Hall 3,8.92,1390,34.69,1.26,1560
2026-01-01 08:56:00,Hall 2,8.93,1304,53.93,1.33,1572
2026-01-01 08:57:00,Hall 2,8.95,1350,47.06,1.18,1583
2026-01-01 08:58:00,Hall 2,8.97,1381,61.62,1.21,1694
2026-01-01 08:59:00,Hall 1,8.98,1420,27.34,1.18,1546
2026-01-01 09:00:00,Hall 1,9.0,1424,35.67,1.14,1593
2026-01-01 09:01:00,Hall 2,9.02,1353,62.4,1.34,1667
2026-01-01 09:02:00,Hall 2,9.03,1444,37.77,1.24,1639
2026-01-01 09:03:00,Hall 1,9.05,1350,72.16,1.23,1721
2026-01-01 09:04:00,Hall 3,9.07,1448,39.95,1.22,1627
2026-01-01 09:05:00,Hall 3,9.08,1464,31.72,1.25,1637
2026-01-01 09:06:00,Open Arena,9.1,1545,37.56,0.97,1732
2026-01-01 09:07:00,Hall 1,9.12,1528,74.38,1.06,1906
2026-01-01 09:08:00,Hall 3,9.13,1502,28.28,1.34,1652
2026-01-01 09:09:00,Hall 3,9.15,1503,34.67,1.18,1685
2026-01-01 09:10:00,Hall 3,9.17,1515,18.15,1.32,1610
2026-01-01 09:11:00,Hall 1,9.18,1481,54.82,1.12,1734
2026-01-01 09:12:00,Hall 3,9.2,1519,58.08,1.3,1785
2026-01-01 09:13:00,Hall 3,9.22,1462,48.89,1.32,1727
2026-01-01 09:14:00,Hall 3,9.23,1564,30.39,1.02,1714
2026-01-01 09:15:00,Hall 1,9.25,1515,30.23,1.08,1665
2026-01-01 09:16:00,Open Arena,9.27,1420,70.67,1.31,1772
2026-01-01 09:17:00,Hall 3,9.28,1524,42.9,1.07,1743
2026-01-01 09:18:00,Hall 1,9.3,1523,44.59,0.99,1764
2026-01-01 09:19:00,Hall 3,9.32,1417,24.03,1.28,1546
2026-01-01 09:20:00,Hall 1,9.33,1517,35.16,1.24,1703
2026-01-01 09:21:00,Hall 3,9.35,2167,-50.0,0.93,1917
2026-01-01 09:22:00,Hall 3,9.37,1594,62.21,1.27,1925
2026-01-01 09:23:00,Hall 1,9.38,1536,36.75,1.16,1733
2026-01-01 09:24:00,Open Arena,9.4,1741,58.42,1.39,2021
2026-01-01 09:25:00,Hall 2,9.42,1626,58.22,1.03,1907
2026-01-01 09:26:00,Hall 2,9.43,1677,54.83,1.24,1949
2026-01-01 09:27:00,Hall 3,9.45,1546,33.49,1.09,1741
2026-01-01 09:28:00,Hall 2,9.47,1544,35.17,1.17,1712
2026-01-01 09:29:00,Hall 2,9.48,1641,45.19,1.06,1874
2026-01-01 09:30:00,Hall 1,9.5,2405,-50.0,0.98,2143
2026-01-01 09:31:00,Open Arena,9.52,1614,27.39,1.09,1759
2026-01-01 09:32:00,Open Arena,9.53,1611,32.69,1.26,1761
2026-01-01 09:33:00,Hall 1,9.55,1679,52.89,1.24,1911
2026-01-01 09:34:00,Hall 3,9.57,1675,47.97,1.13,1921
2026-01-01 09:35:00,Open Arena,9.58,1633,34.83,1.31,1824
2026-01-01 09:36:00,Hall 3,9.6,1697,35.65,1.05,1841
2026-01-01 09:37:00,Hall 3,9.62,1714,47.29,1.13,1939
2026-01-01 09:38:00,Hall 1,9.63,1707,44.72,0.91,1934
2026-01-01 09:39:00,Hall 1,9.65,1729,45.82,1.14,1957
2026-01-01 09:40:00,Hall 1,9.67,1662,41.78,1.23,1873
2026-01-01 09:41:00,Open Arena,9.68,1765,61.56,1.2,2076
2026-01-01 09:42:00,Hall 2,9.7,1680,35.48,1.03,1849
2026-01-01 09:43:00,Hall 3,9.72,3500,-50.0,0.69,3231
2026-01-01 09:44:00,Hall 3,9.73,1673,38.39,0.94,1834
2026-01-01 09:45:00,Hall 3,9.75,1679,32.81,0.88,1819
2026-01-01 09:46:00,Hall 3,9.77,1698,18.77,1.14,1790
2026-01-01 09:47:00,Open Arena,9.78,1704,33.97,1.04,1896
2026-01-01 09:48:00,Open Arena,9.8,1657,42.26,1.19,1861
2026-01-01 09:49:00,Hall 2,9.82,1620,46.22,1.27,1854
2026-01-01 09:50:00,Hall 1,9.83,1756,45.93,1.21,1998
2026-01-01 09:51:00,Hall 3,9.85,1720,0.89,1.19,1710
2026-01-01 09:52:00,Open Arena,9.87,1671,11.1,1.01,1720
2026-01-01 09:53:00,Hall 2,9.88,1655,59.72,1.08,1973
2026-01-01 09:54:00,Open Arena,9.9,1731,29.31,1.14,1875
2026-01-01 09:55:00,Hall 2,9.92,1750,48.13,1.12,1995
2026-01-01 09:56:00,Hall 2,9.93,1679,57.89,1.16,1959
2026-01-01 09:57:00,Hall 2,9.95,1780,42.9,0.9,1996
2026-01-01 09:58:00,Hall 3,9.97,1748,38.51,1.11,1920
2026-01-01 09:59:00,Open Arena,9.98,1707,27.95,1.02,1849
2026-01-01 10:00:00,Hall 1,10.0,1725,18.14,1.19,1818
2026-01-01 10:01:00,Hall 3,10.02,1717,52.99,1.03,1990
2026-01-01 10:02:00,Hall 2,10.03,1714,33.19,1.26,1896
2026-01-01 10:03:00,Open Arena,10.05,1683,44.3,0.96,1920
2026-01-01 10:04:00,Hall 1,10.07,1788,43.42,0.92,1983
2026-01-01 10:05:00,Hall 1,10.08,1706,56.71,1.17,1991
2026-01-01 10:06:00,Hall 2,10.1,1659,36.75,1.22,1827
2026-01-01 10:07:00,Hall 2,10.12,1661,20.59,1.02,1753
2026-01-01 10:08:00,Hall 3,10.13,1680,48.48,1.24,1902
2026-01-01 10:09:00,Hall 3,10.15,1610,31.27,1.1,1774
2026-01-01 10:10:00,Hall 1,10.17,1670,43.55,1.04,1858
2026-01-01 10:11:00,Hall 3,10.18,1704,42.94,1.04,1929
2026-01-01 10:12:00,Open Arena,10.2,1621,43.12,1.11,1852
2026-01-01 10:13:00,Hall 3,10.22,1745,36.1,1.1,1924
2026-01-01 10:14:00,Hall 1,10.23,1663,24.95,1.23,1792
2026-01-01 10:15:00,Hall 2,10.25,1752,67.42,1.18,2072
2026-01-01 10:16:00,Hall 2,10.27,1699,28.11,1.01,1816
2026-01-01 10:17:00,Hall 2,10.28,1678,62.04,1.15,1993
2026-01-01 10:18:00,Hall 2,10.3,1683,47.17,1.13,1881
2026-01-01 10:19:00,Hall 2,10.32,1683,43.53,1.29,1907
2026-01-01 10:20:00,Open Arena,10.33,1607,49.92,1.09,1852
2026-01-01 10:21:00,Hall 2,10.35,1665,38.59,1.06,1851
2026-01-01 10:22:00,Hall 2,10.37,1681,31.52,1.08,1815
2026-01-01 10:23:00,Hall 1,10.38,1838,47.9,1.02,2076
2026-01-01 10:24:00,Open Arena,10.4,1550,32.06,1.02,1699
2026-01-01 10:25:00,Hall 2,10.42,1714,52.02,1.13,1969
2026-01-01 10:26:00,Hall 2,10.43,1671,40.41,0.97,1896
2026-01-01 10:27:00,Hall 1,10.45,1637,50.17,1.21,1888
2026-01-01 10:28:00,Hall 3,10.47,1578,41.48,1.19,1808
2026-01-01 10:29:00,Hall 1,10.48,1623,25.57,1.05,1758
2026-01-01 10:30:00,Hall 2,10.5,1631,65.06,1.24,1937
2026-01-01 10:31:00,Open Arena,10.52,1613,74.17,1.35,1986
2026-01-01 10:32:00,Hall 1,10.53,1589,36.51,1.06,1763
2026-01-01 10:33:00,Open Arena,10.55,1666,12.89,1.11,1739
2026-01-01 10:34:00,Hall 3,10.57,1561,44.04,1.5,1763
2026-01-01 10:35:00,Hall 1,10.58,1616,44.26,1.19,1848
2026-01-01 10:36:00,Hall 2,10.6,1605,36.72,1.29,1774
2026-01-01 10:37:00,Hall 3,10.62,1625,41.01,1.16,1822
2026-01-01 10:38:00,Hall 2,10.63,1499,27.1,1.31,1620
2026-01-01 10:39:00,Hall 2,10.65,1581,15.84,1.24,1662
2026-01-01 10:40:00,Hall 2,10.67,1616,54.36,1.23,1865
2026-01-01 10:41:00,Hall 3,10.68,1495,47.45,1.21,1728
2026-01-01 10:42:00,Hall 1,10.7,1493,45.75,1.14,1738
2026-01-01 10:43:00,Open Arena,10.72,1620,34.93,1.09,1808
2026-01-01 10:44:00,Open Arena,10.73,1582,31.19,1.35,1756
2026-01-01 10:45:00,Open Arena,10.75,1504,53.89,1.07,1776
2026-01-01 10:46:00,Open Arena,10.77,1593,30.95,0.93,1753
2026-01-01 10:47:00,Hall 3,10.78,1505,40.19,1.18,1704
2026-01-01 10:48:00,Open Arena,10.8,1408,27.69,1.28,1549
2026-01-01 10:49:00,Hall 2,10.82,1527,28.86,1.23,1660
2026-01-01 10:50:00,Hall 3,10.83,1560,64.68,1.07,1910
2026-01-01 10:51:00,Open Arena,10.85,1431,62.87,1.08,1752
2026-01-01 10:52:00,Open Arena,10.87,1530,39.54,1.36,1716
2026-01-01 10:53:00,Hall 3,10.88,1541,38.03,1.08,1732
2026-01-01 10:54:00,Open Arena,10.9,1425,53.41,1.38,1714
2026-01-01 10:55:00,Hall 2,10.92,1473,2.21,1.25,1470
2026-01-01 10:56:00,Open Arena,10.93,1465,28.97,1.18,1604
2026-01-01 10:57:00,Hall 3,10.95,1454,38.36,1.28,1635
2026-01-01 10:58:00,Open Arena,10.97,1431,48.89,1.34,1672
2026-01-01 10:59:00,Hall 2,10.98,1450,46.66,1.24,1729
2026-01-01 11:00:00,Open Arena,11.0,1360,29.89,1.22,1520
2026-01-01 11:01:00,Open Arena,11.02,1375,2.78,1.06,1389
2026-01-01 11:02:00,Hall 3,11.03,1284,-2.89,1.33,1260
2026-01-01 11:03:00,Hall 1,11.05,1334,6.63,1.32,1371
2026-01-01 11:04:00,Hall 2,11.07,1474,17.83,1.21,1576
2026-01-01 11:05:00,Hall 2,11.08,1373,16.28,1.11,1464
2026-01-01 11:06:00,Hall 2,11.1,1382,-7.67,1.3,1344
2026-01-01 11:07:00,Hall 1,11.12,1334,7.75,1.02,1411
2026-01-01 11:08:00,Hall 2,11.13,1326,15.3,1.16,1381
2026-01-01 11:09:00,Hall 3,11.15,1315,-4.52,1.37,1307
2026-01-01 11:10:00,Hall 3,11.17,1329,-4.93,1.24,1291
2026-01-01 11:11:00,Hall 2,11.18,1307,16.74,1.15,1399
2026-01-01 11:12:00,Open Arena,11.2,1235,-0.27,1.19,1228
2026-01-01 11:13:00,Hall 2,11.22,1297,11.6,1.44,1344
2026-01-01 11:14:00,Hall 3,11.23,1289,12.17,1.3,1361
2026-01-01 11:15:00,Hall 1,11.25,1319,1.76,1.35,1322
2026-01-01 11:16:00,Open Arena,11.27,1247,13.26,1.0,1296
2026-01-01 11:17:00,Hall 2,11.28,1303,-7.74,1.04,1272
2026-01-01 11:18:00,Hall 2,11.3,1128,6.08,1.22,1164
2026-01-01 11:19:00,Hall 2,11.32,1269,21.22,1.25,1380
2026-01-01 11:20:00,Hall 2,11.33,1230,14.12,1.17,1318
2026-01-01 11:21:00,Hall 3,11.35,1275,5.48,1.22,1287
2026-01-01 11:22:00,Open Arena,11.37,1260,23.29,1.18,1391
2026-01-01 11:23:00,Hall 1,11.38,1218,-3.8,1.3,1171
2026-01-01 11:24:00,Hall 3,11.4,1265,17.74,1.31,1338
2026-01-01 11:25:00,Hall 1,11.42,1192,7.5,1.12,1235
2026-01-01 11:26:00,Hall 3,11.43,1096,-5.44,1.31,1088
2026-01-01 11:27:00,Hall 1,11.45,1222,-13.64,1.19,1148
2026-01-01 11:28:00,Open Arena,11.47,1138,-0.47,1.26,1147
2026-01-01 11:29:00,Open Arena,11.48,1235,9.7,1.2,1271
2026-01-01 11:30:00,Hall 1,11.5,1206,6.72,1.32,1233
2026-01-01 11:31:00,Hall 2,11.52,1178,0.19,1.36,1159
2026-01-01 11:32:00,Open Arena,11.53,2024,120.0,1.09,2596
2026-01-01 11:33:00,Hall 3,11.55,1161,-0.22,1.3,1154
2026-01-01 11:34:00,Hall 1,11.57,1137,18.69,1.18,1205
2026-01-01 11:35:00,Open Arena,11.58,1063,1.08,1.13,1072
2026-01-01 11:36:00,Hall 3,11.6,1083,21.91,1.19,1176
2026-01-01 11:37:00,Open Arena,11.62,1123,9.68,1.33,1158
2026-01-01 11:38:00,Hall 3,11.63,1048,18.77,1.37,1137
2026-01-01 11:39:00,Hall 3,11.65,1147,-5.51,1.07,1110
2026-01-01 11:40:00,Open Arena,11.67,1074,3.72,1.36,1080
2026-01-01 11:41:00,Hall 1,11.68,1178,6.66,1.33,1230
2026-01-01 11:42:00,Hall 3,11.7,1006,-23.63,1.45,905
2026-01-01 11:43:00,Hall 2,11.72,1056,-7.59,1.22,995
2026-01-01 11:44:00,Hall 2,11.73,1085,-6.97,1.23,1051
2026-01-01 11:45:00,Hall 1,11.75,1115,21.06,1.42,1233
2026-01-01 11:46:00,Open Arena,11.77,936,5.3,1.46,964
2026-01-01 11:47:00,Open Arena,11.78,995,27.3,1.25,1133
2026-01-01 11:48:00,Hall 2,11.8,1154,9.83,1.17,1188
2026-01-01 11:49:00,Hall 1,11.82,994,20.73,1.19,1075
2026-01-01 11:50:00,Hall 1,11.83,1009,13.91,1.19,1066
2026-01-01 11:51:00,Hall 2,11.85,1021,6.09,1.44,1063
2026-01-01 11:52:00,Hall 1,11.87,981,-13.95,1.25,904
2026-01-01 11:53:00,Hall 3,11.88,924,-1.7,1.4,917
2026-01-01 11:54:00,Hall 1,11.9,951,10.25,1.3,1013
2026-01-01 11:55:00,Hall 1,11.92,986,6.67,1.3,987
2026-01-01 11:56:00,Hall 2,11.93,941,13.57,1.39,1018
2026-01-01 11:57:00,Hall 2,11.95,993,21.51,1.33,1095
2026-01-01 11:58:00,Hall 3,11.97,931,1.66,1.09,954
2026-01-01 11:59:00,Hall 1,11.98,891,8.67,1.38,886
2026-01-01 12:00:00,Open Arena,12.0,1626,-50.0,1.12,1374
2026-01-01 12:01:00,Hall 3,12.02,889,7.5,1.4,922
2026-01-01 12:02:00,Open Arena,12.03,959,-4.79,1.26,926
2026-01-01 12:03:00,Hall 1,12.05,847,10.26,1.47,909
2026-01-01 12:04:00,Hall 2,12.07,908,10.43,1.37,973
2026-01-01 12:05:00,Open Arena,12.08,893,9.62,1.47,910
2026-01-01 12:06:00,Hall 3,12.1,811,6.86,1.3,837
2026-01-01 12:07:00,Hall 1,12.12,895,-5.76,1.08,850
2026-01-01 12:08:00,Hall 3,12.13,889,1.95,1.43,886
2026-01-01 12:09:00,Hall 1,12.15,913,12.65,1.41,977
2026-01-01 12:10:00,Hall 3,12.17,891,8.2,1.55,939
2026-01-01 12:11:00,Hall 3,12.18,819,-9.91,1.39,763
2026-01-01 12:12:00,Hall 3,12.2,888,-0.8,1.42,877
2026-01-01 12:13:00,Hall 1,12.22,911,13.18,1.27,958
2026-01-01 12:14:00,Hall 1,12.23,888,-10.03,1.28,836
2026-01-01 12:15:00,Hall 3,12.25,834,-21.27,1.35,730
2026-01-01 12:16:00,Hall 2,12.27,786,19.77,1.15,902
2026-01-01 12:17:00,Open Arena,12.28,870,-9.08,1.33,840
2026-01-01 12:18:00,Hall 2,12.3,757,10.59,1.45,812
2026-01-01 12:19:00,Open Arena,12.32,814,-2.96,1.46,801
2026-01-01 12:20:00,Hall 2,12.33,843,20.79,1.26,942
2026-01-01 12:21:00,Hall 1,12.35,735,4.9,1.3,736
